summary,loss_category
"At BARR on 2015-10-10 at 17:56, a Flash Flood occurred, eventually ending at BARR on 2015-10-10 at 19:15. Land use within 1.0 km: 44.7% class 130; 7.0% class 255. Soils: 16.3% class 255; 4.3% class 230. Population density averages 217.6 (max 255.0). The population mean density was 217.58, with a minimum density of 110, a maximum density of 255, and an estimated 22,193 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. SC Highway Patrol reports roadway washout at Roscoe Road and Holm Oak Road.",Catastrophic
"At LEXINGTON on 2015-10-04 at 06:00, a Flash Flood occurred, eventually ending at LEXINGTON on 2015-10-04 at 06:30. Land use within 1.0 km: 86.2% class 204; 3.5% class 131. Soils: 5.4% class 0; 4.1% class 255. Population density averages 193.3 (max 211.0). The population mean density was 193.26, with a minimum density of 110, a maximum density of 211, and an estimated 20,486 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. Gibson Pond Park Dam Failed along Twelve Mile Creek in Lexington.",Severe
"At IRMO on           at 12:00, a Flash Flood occurred, eventually ending at ARTHUR on 2009-12-25 at 12:45. Land use within 1.0 km: 54.5% class 255; 6.1% class 0. Soils: 9.6% class 255; 2.9% class 250. Population density averages 199.7 (max 255.0). The population mean density was 199.68, with a minimum density of 85, a maximum density of 255, and an estimated 20,966 people near the event when it occurred. Heavy rain from a gulf low produced 2 to 5 inches across the Midlands and Pee Dee region causing considerable areal flooding and some flash flooding. Many road closures and widespread flooding along streams reported by Emergency Management and also a small earthen dam breach on Bush River road in the St. Andrews/Whitehall area.",Major
"At DIXIANA on 2020-07-29 at 20:03, a Flash Flood occurred, eventually ending at DIXIANA on 2020-07-29 at 20:55. Land use within 1.0 km: 54.1% class 132; 19.7% class 255. Soils: 6.2% class 255; 3.5% class 163. Population density averages 212.7 (max 231.0). The population mean density was 212.7, with a minimum density of 135, a maximum density of 231, and an estimated 21,908 people near the event when it occurred. Slow moving thunderstorms developed in a very moist atmosphere and produced locally heavy rain and flash flooding. The roadway was flooded along the 4400 block of 12th St Extension near the Amazon distribution center.",Minor
"At DIXIANA on 2020-07-29 at 19:55, a Flash Flood occurred, eventually ending at DIXIANA on 2020-07-29 at 20:55. Land use within 1.0 km: 55.7% class 255; 10.9% class 132. Soils: 10.8% class 255; 2.4% class 154. Population density averages 200.1 (max 231.0). The population mean density was 200.15, with a minimum density of 85, a maximum density of 231, and an estimated 20,215 people near the event when it occurred. Slow moving thunderstorms developed in a very moist atmosphere and produced locally heavy rain and flash flooding. Three lanes of Interstate 26 westbound at mile marker 116 were covered by flood water and were impassable.",Minor
"At SPRINGDALE on 2015-10-04 at 03:05, a Flash Flood occurred, eventually ending at SPRINGDALE on 2015-10-04 at 08:05. Land use within 1.0 km: 67.4% class 204; 6.3% class 131. Soils: 10.8% class 160; 7.8% class 255. Population density averages 217.0 (max 231.0). The population mean density was 217.03, with a minimum density of 211, a maximum density of 231, and an estimated 22,354 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. SC Highway Patrol reports Methodist Park Road at US 1 closed due to flooding.",Catastrophic
"At IRMO on 2015-09-05 at 01:30, a Flash Flood occurred, eventually ending at IRMO on 2015-09-05 at 02:15. Land use within 1.0 km: 45.1% class 255; 31.0% class 130. Soils: 13.9% class 255; 2.7% class 0. Population density averages 136.0 (max 255.0). The population mean density was 136.01, with a minimum density of 85, a maximum density of 255, and an estimated 14,553 people near the event when it occurred. Scattered thunderstorms moved though the Midlands and produced some large hail, wind damage, and very intense rains that produced flash flooding. Sheriff reported flooding at the Country Walk Apartments at 408 Fox Fire Drive near Bower Parkway and Piney Grove Road. Road was impassable with one stranded vehicle.",Severe
"At SPRINGDALE on 2024-07-24 at 17:03, a Flash Flood occurred, eventually ending at SPRINGDALE on 2024-07-24 at 17:33.  The population mean density was unknown, with a minimum density of unknown, a maximum density of unknown, and an estimated unknown people near the event when it occurred. A stalled boundary across central South Carolina, combined with extremely high precipitable water values lead to a series of training thunderstorms and flash flooding. Skinny instability and unidirectional flow aloft caused the line of storms to move parallel to the boundary with widespread 2-3 inch per hour rates for several hours in the central Midlands. Saturated soils and some sub-severe gusty outflow winds knocked several trees down in Newberry county. SC Highway Patrol reported roadway washout near the Augusta Highway and I-26 interchange.",Minor
"At (CAE)COLUMBIA METRO on 2015-12-22 at 07:37, a Flood occurred, eventually ending at (CAE)COLUMBIA METRO on 2015-12-22 at 07:50. Land use within 1.0 km: 39.5% class 130; 15.8% class 255. Soils: 12.0% class 255; 3.0% class 243. Population density averages 196.7 (max 255.0). The population mean density was 196.67, with a minimum density of 85, a maximum density of 255, and an estimated 20,060 people near the event when it occurred. Heavy rainfall across the area produced flash flooding and flooding along area creeks and roadways. Highway Patrol reported roadway flooding at John M. Hardee Expressway and Lexington Drive.",Minor
"At DIXIANA on 2020-07-29 at 19:55, a Flash Flood occurred, eventually ending at DIXIANA on 2020-07-29 at 20:55. Land use within 1.0 km: 35.0% class 130; 21.0% class 255. Soils: 21.2% class 237; 11.1% class 255. Population density averages 140.8 (max 252.0). The population mean density was 140.8, with a minimum density of 85, a maximum density of 252, and an estimated 14,502 people near the event when it occurred. Slow moving thunderstorms developed in a very moist atmosphere and produced locally heavy rain and flash flooding. A vehicle was submerged in flood waters on Lloydwood Dr.  The occupants made it out of the vehicle safely.",Minor
"At DIXIANA on 2021-08-22 at 14:20, a Flash Flood occurred, eventually ending at DIXIANA on 2021-08-22 at 14:45.  The population mean density was unknown, with a minimum density of unknown, a maximum density of unknown, and an estimated unknown people near the event when it occurred. Lines of thunderstorms producing heavy rain repeatedly passed over the same areas in the Midlands. Up to 5 inches of rainfall produced flash flooding in low-lying and urban areas. Public report of nearly impassable roadway due to flooding at 12th Street and Old Wire Road.",Minor
"At BARR on 2015-06-04 at 01:16, a Flash Flood occurred, eventually ending at BARR on 2015-06-04 at 02:30. Land use within 1.0 km: 71.9% class 255; 1.8% class 252. Soils: 7.5% class 255; 3.5% class 240. Population density averages 156.9 (max 255.0). The population mean density was 156.94, with a minimum density of 85, a maximum density of 255, and an estimated 16,165 people near the event when it occurred. Heavy rains produced around 2 to 5 inches of rain over portions of the Midlands causing flash flooding that closed many roads and washouts on several country roads. Highway Patrol reported flash flooding at the intersectionn of Calks Ferry and Fox Branch road closing the intersection.  Other roads in the area were also flooded.",Minor
"At ST ANDREWS on 2019-12-13 at 13:30, a Flash Flood occurred, eventually ending at HAPPY TOWN on 2019-12-13 at 14:30. Land use within 1.0 km: 66.3% class 255; 2.1% class 252. Soils: 8.2% class 255; 4.1% class 0. Population density averages 156.3 (max 255.0). The population mean density was 156.27, with a minimum density of 85, a maximum density of 255, and an estimated 15,940 people near the event when it occurred. A band of showers and thunderstorms produced very heavy rain and led to some flooding. Cayce Public Safety reported that Hummingbird Dr was closed, and also Cofield Dr at Terrace View was closed, due to flooding.  Time estimated.",Minor
"At GILBERT on 2015-10-10 at 18:39, a Flash Flood occurred, eventually ending at GILBERT on 2015-10-10 at 19:15. Land use within 1.0 km: 42.7% class 255; 37.8% class 131. Soils: 6.5% class 255; 3.0% class 0. Population density averages 211.0 (max 211.0). The population mean density was 211.0, with a minimum density of 211, a maximum density of 211, and an estimated 21,522 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. SC Highway Patrol reports roadway washout at Hayes Crossing Road and Windy Road.",Catastrophic
"At DIXIANA on 2021-08-22 at 13:59, a Flash Flood occurred, eventually ending at DIXIANA on 2021-08-22 at 14:45.  The population mean density was unknown, with a minimum density of unknown, a maximum density of unknown, and an estimated unknown people near the event when it occurred. Lines of thunderstorms producing heavy rain repeatedly passed over the same areas in the Midlands. Up to 5 inches of rainfall produced flash flooding in low-lying and urban areas. Emergency Manager and multiple public reports of roadway impassable and closed due to flooding on Charleston Highway and Gardner's Terrace Road.",Major
